диктор;уровень;предложение;ИК;величина  подъема;позиция  пика;скорость  подъема;F0старт;F0пик;F0конец;Тслог;Тпик
1;1;9;ИК3;0,00;0,73;0,00;1530,00;1530,00;995,00;0,14;0,00
2;1;9;ИК3;0,00;4,67;0,00;3065,00;3065,00;2926,00;0,15;0,01
3;1;9;ИК3;0,00;0,55;0,00;2577,00;2577,00;2333,00;0,18;0,00
4;1;9;ИК3;1,56;38,02;33,91;2100,00;2298,00;1879,00;0,12;0,05
5;1;9;ИК3;1,65;55,32;21,14;1751,00;1926,00;1833,00;0,14;0,08
6;1;9;ИК3;2,54;95,52;19,83;2868,00;3321,00;3286,00;0,13;0,13
7;1;9;ИК3;9,40;27,61;254,17;1774,00;3054,00;2844,00;0,13;0,04
8;1;9;ИК3;0,00;0,00;0,00;1519,00;1519,00;1356,00;0,08;0,00
9;2;9;ИК3;0,65;83,52;8,60;2728,00;2833,00;2786,00;0,09;0,08
10;2;9;ИК3;2,29;56,74;28,59;1402,00;1600,00;1600,00;0,14;0,08
11;2;9;ИК3;0,00;0,00;0,00;2112,00;2112,00;2077,00;0,16;0,00
12;2;9;ИК3;3,44;68,25;23,87;2914,00;3554,00;3414,00;0,21;0,14
13;2;9;ИК3;3,24;35,29;77,14;2658,00;3205,00;2879,00;0,12;0,04
14;2;9;ИК3;0,20;7,05;18,00;3042,00;3077,00;2856,00;0,16;0,01
15;2;9;ИК3;0,21;58,82;2,68;2809,00;2844,00;2775,00;0,14;0,08
16;2;9;ИК3;0,00;0,00;0,00;3065,00;3065,00;2914,00;0,18;0,00
17;3;9;ИК3;2,49;66,43;26,77;3007,00;3472,00;3403,00;0,14;0,09
18;3;9;ИК3;0,98;38,11;10,51;2996,00;3170,00;2833,00;0,24;0,09
19;3;9;ИК3;2,90;76,10;18,59;2868,00;3391,00;3077,00;0,21;0,16
20;3;9;ИК3;2,90;93,42;20,41;2809,00;3321,00;3321,00;0,15;0,14
21;3;9;ИК3;0,58;17,31;16,03;2065,00;2135,00;1298,00;0,21;0,04
22;3;9;ИК3;0,00;0,65;0,00;3019,00;3019,00;2612,00;0,15;0,00
23;3;9;ИК3;8,06;82,93;47,41;1705,00;2716,00;2542,00;0,21;0,17
24;3;9;ИК3;0,92;73,00;12,57;3216,00;3391,00;3391,00;0,10;0,07
1;1;10;ИК4;0,55;36,00;20,53;1414,00;1460,00;1367,00;0,08;0,03
2;1;10;ИК4;0,68;845,87;0,73;2937,00;3054,00;2984,00;0,11;0,92
3;1;10;ИК4;0,00;0,00;0,00;2565,00;2565,00;2344,00;0,15;0,00
